model,instance,solver,seed,run_status,run_time,energy
nfc,18_3_12,ortools,,SOLVED,0.057962236,1.11
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,ortools,,SOLVED,4.423663147,85.88
tower,100_100_20_100-04,ortools,,SOLVED,139.788141475,2633.0299999999997
mapf,ins_g16_p10_a20,ortools,,SOLVED,49.441931847,901.84
tower,tower_070_070_15_085-09,ortools,,SOLVED,17.604564549,332.15
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,picat,,UNK,0.243858524,4.72
nfc,30_5_6,ortools,,SOLVED,0.063213086,1.2
tower,100_100_20_100-04,picat,,SOLVED,1161.222862956,19686.72
ttppv,circ14cnonbal,picat,,UNK,0.282016638,4.99
triangular,n18,ortools,,UNK,1200.051480605,22499.79
dcmst,c_v15_a105_d6,gecode,,SOLVED,47.097409007,931.8500000000001
ttppv,circ20jnonbal,ortools,,UNK,1200.172449334,21969.65
mapf,ins_g16_p10_a20,gecode,,UNK,1205.621955518,24480.78
tower,tower_070_070_15_085-09,picat,,SOLVED,705.365907048,12348.34
dcmst,c_v15_a105_d6,picat,,UNK,0.184119102,3.32
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,gecode,,SOLVED,240.204951237,4629.42
mapf,ins_g24_p20_a10,gecode,,UNK,1207.626494064,21932.9
triangular,n24,ortools,,UNK,1200.203059974,22790.440000000002
dcmst,s_v40_a100_d7,picat,,UNK,0.203858282,3.85
triangular,n39,ortools,,UNK,1200.782234852,24254.88
tower,tower_500_500_50_300-01,ortools,,UNK,1200.608225502,21960.45
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,gecode,,ERR,0.289661169,5.33
dcmst,c_v15_a105_d9,gecode,,SOLVED,644.462576083,12751.21
accap,accap_a4_f30_t15,picat,,SOLVED,273.30603297,5292.43
dcmst,c_v20_a190_d9,picat,,UNK,0.346428298,6.46
dcmst,c_v20_a190_d9,ortools,,SOLVED,10.434741205,198.26999999999998
wordpress,Wordpress7_Offers500,ortools,,UNK,1200.047509703,21819.93
mapf,ins_g24_p20_a10,picat,,UNK,75.30329719,1097.3
ttppv,circ14cnonbal,ortools,,UNK,1200.162216585,22838.77
model,data3_5_31,ortools,,SOLVED,429.137215775,8195.05
spot5,509,ortools,,SOLVED,7.071200031,135.01999999999998
spot5,507,picat,,SOLVED,9.019962363,173.01999999999998
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,picat,,UNK,0.363525332,6.53
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,gecode,,ERR,0.285652414,5.380000000000001
tower,tower_070_070_15_070-09,picat,,SOLVED,642.813000808,10753.64
sudoku_opt,sudoku_p29,picat,,SOLVED,6.886754507,126.28999999999999
sudoku_opt,sudoku_p29,ortools,,SOLVED,26.741662364,503.48
ttppv,circ20fnonbal,ortools,,UNSAT,36.388773135,672.5799999999999
wordpress,Wordpress7_Offers500,picat,,UNK,0.112343645,2.15
model,814_with_1_2_4_6_6_7_8_9,picat,,UNK,0.286070825,5.09
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,picat,,UNK,0.366514683,6.6
model,data2_6_15,ortools,,SOLVED,9.776486765,185.89
ttppv,circ20fnonbal,gecode,,UNK,1200.106274784,20708.23
ttppv,circ20jnonbal,picat,,UNK,0.449847479,8.29
yumi-static,p_4_GS_SG_yumi_grid_setup_3_3,picat,,UNK,0.252239137,4.970000000000001
accap,accap_a4_f30_t15,ortools,,SOLVED,2.641813206,51.870000000000005
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,ortools,,SOLVED,16.519085452,314.18
tower,tower_070_070_15_070-09,ortools,,SOLVED,52.814003179,1003.85
nfc,24_4_2,ortools,,SOLVED,0.059387868,1.12
sudoku_opt,sudoku_p29,gecode,,UNK,1200.024563229,22591.95
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,ortools,,SOLVED,10.439988749,194.07
dcmst,s_v40_a100_d7,ortools,,SOLVED,100.994799636,1922.54
dcmst,c_v15_a105_d9,picat,,UNK,0.197362893,3.59
spot5,509,picat,,SOLVED,7.287506064,131.93
mapf,ins_g16_p10_a20,picat,,UNK,43.443612113,663.28
accap,accap_a18_f140_t85,picat,,SOLVED,1095.586815397,20335.73
dcmst,c_v15_a105_d9,ortools,,SOLVED,0.769937441,15.35
ttppv,circ14cnonbal,gecode,,UNK,1200.056887287,22144.559999999998
accap,accap_a18_f140_t85,ortools,,SOLVED,119.043121121,2385.72
spot5,507,ortools,,SOLVED,10.049262178,201.13
ttppv,circ20fnonbal,picat,,UNK,0.449065801,8.17
model,data2_6_15,picat,,SOLVED,511.023857759,9173.650000000001
tower,tower_070_070_15_085-09,gecode,,SOLVED,712.548147527,14706.210000000001
model,814_with_1_2_4_6_6_7_8_9,ortools,,SOLVED,3.007093832,57.93
mapf,ins_g24_p20_a10,ortools,,SOLVED,78.807945778,1416.24
yumi-static,p_4_GS_SG_yumi_grid_setup_3_3,ortools,,SOLVED,57.403560754,1123.19
dcmst,c_v15_a105_d6,ortools,,SOLVED,0.883230897,16.83
